Gene	Synonym	ENSG	Description	expression
SLC22A8	OAT3	ENSG00000149452	Solute carrier family 22 member 8	ElevBrain
LBX1	"HPX6, LBX1H"	ENSG00000138136	Ladybird homeobox 1	ElevBrain
GFAP	FLJ45472	ENSG00000131095	Glial fibrillary acidic protein	ElevBrain
TLX3	"HOX11L2, RNX"	ENSG00000164438	T cell leukemia homeobox 3	ElevBrain
NEUROD2	"bHLHa1, NDRF"	ENSG00000171532	Neuronal differentiation 2	ElevBrain
NEUROD6	"Atoh2, bHLHa2, Math-2, Nex1, NEX1M"	ENSG00000164600	Neuronal differentiation 6	ElevBrain
NCAN	CSPG3	ENSG00000130287	Neurocan	ElevBrain
MOG	"BTN6, BTNL11"	ENSG00000204655	Myelin oligodendrocyte glycoprotein	ElevBrain
HPCA		ENSG00000121905	Hippocalcin	ElevBrain
AVP	"ADH, ARVP"	ENSG00000101200	Arginine vasopressin	ElevBrain
BARHL1		ENSG00000125492	BarH like homeobox 1	ElevBrain
FGF3	"HBGF-3, INT2"	ENSG00000186895	Fibroblast growth factor 3	ElevBrain
MBP		ENSG00000197971	Myelin basic protein	ElevBrain
MEPE		ENSG00000152595	Matrix extracellular phosphoglycoprotein	ElevBrain
OPALIN	"HTMP10, TMEM10, TMP10"	ENSG00000197430	Oligodendrocytic myelin paranodal and inner loop protein	ElevBrain
MFRP	"C1QTNF5, FLJ30570, NNO2, rd6"	ENSG00000235718	Membrane frizzled-related protein	ElevBrain
OMG	OMGP	ENSG00000126861	Oligodendrocyte myelin glycoprotein	ElevBrain
DAO	DAMOX	ENSG00000110887	D-amino acid oxidase	ElevBrain
HAPLN2	BRAL1	ENSG00000132702	Hyaluronan and proteoglycan link protein 2	ElevBrain
GRIN1	"GluN1, NMDAR1"	ENSG00000176884	Glutamate ionotropic receptor NMDA type subunit 1	ElevBrain
CAMKV	"MGC8407, VACAMKL"	ENSG00000164076	CaM kinase like vesicle associated	ElevBrain
GSG1L2		ENSG00000214978	GSG1 like 2	ElevBrain
MOBP		ENSG00000168314	Myelin-associated oligodendrocyte basic protein	ElevBrain
HCRT	"OX, PPOX"	ENSG00000161610	Hypocretin neuropeptide precursor	ElevBrain
SPHAR		ENSG00000213029	S-phase response (cyclin related)	ElevBrain
TH	DYT5b	ENSG00000180176	Tyrosine hydroxylase	ElevBrain
NPVF	"C7orf9, RFRP"	ENSG00000105954	Neuropeptide VF precursor	ElevBrain
PMP2	"FABP8, M-FABP, MP2"	ENSG00000147588	Peripheral myelin protein 2	ElevBrain
C1orf61	CROC4	ENSG00000125462	Chromosome 1 open reading frame 61	ElevBrain
CACNG7		ENSG00000105605	Calcium voltage-gated channel auxiliary subunit gamma 7	ElevBrain
GRM4	"GPRC1D, mGlu4, MGLUR4"	ENSG00000124493	Glutamate metabotropic receptor 4	ElevBrain
PTH2	TIP39	ENSG00000142538	Parathyroid hormone 2	ElevBrain
KCNJ9	"GIRK3, Kir3.3"	ENSG00000162728	Potassium voltage-gated channel subfamily J member 9	ElevBrain
SYNDIG1L	"capucin, IFITMD4, TMEM90A"	ENSG00000183379	Synapse differentiation inducing 1 like	ElevBrain
AMER2	"FAM123A, FLJ25477"	ENSG00000165566	APC membrane recruitment protein 2	ElevBrain
PLP1	"GPM6C, PLP, SPG2"	ENSG00000123560	Proteolipid protein 1	ElevBrain
TBR1		ENSG00000136535	"T-box, brain 1"	ElevBrain
